,Company,City,State,Owner/Maker
224,CocoAndre,Dallas,Texas,"Andrea Pedraza, Cindy Pedraza"
225,Five Mile,Dallas,Texas,Shannon Neffendorf
226,Dripping Springs,Dripping Springs,Texas,Bob and Tracy
227,Ceda,Edinburg,Texas,Eddie Benavidez
228,Mahogany,Lubbock,Texas,Joshua Parker
229,Mozna Chocolate,McAllen,Texas,Anthony Matulewicz
230,Maribea,Odessa,Texas,Mark Merritt and Joseph Gabaldon
231,Casa Chocolates,San Antonio,Texas,
232,Tejas,Spring,Texas,Scott Moore
233,Affinity,Sugar Land,Texas,Chris Campbell
234,Xocolla,Sugar Land,Texas,Tony Najjar
235,Noble Bean aka Jerjobo,Bountiful,Utah,Jerry Tadlock
236,Aggie Chocolate Factory,Logan,Utah,"Silvana Martini, Steve Shelton"
237,Amano,Orem,Utah,Art Pollard
238,Ritual,Park City,Utah,"Robbie Stout, Anna Davies"
239,Chocolate Conspiracy,Salt Lake City,Utah,AJ Wentworth
240,Millcreek Cacao Roasters,Salt Lake City,Utah,"Dana Brewster, Mark DelVecchio"
241,Solstice,Salt Lake City,Utah,"Scott Querry, DeAnn Wallin"
242,Taste Artisan aka Coleman and Davis,Salt Lake City,Utah,"Morgan Coleman, Phil Davis"
243,The Cacao Bean Project,Sandy,Utah,Lance and Shannon Brown
244,Durci,Wasatch Range,Utah,Eric Durtschi
245,Blue Bandana (closed),Burlington,Vermont,Eric Lampman
246,Kerchner,Burlington,Vermont,Charles Kerchner
247,Pinnacle,Enosburg Falls,Vermont,Tiffany and Ben Howard
248,Middlebury,Middlebury,Vermont,Stephanie and Andy Jackson
249,Altus aka Cao Artisan,Bedford,Virginia,Carl and Mary Matice
250,Chocolate Con Amor,Berryville,Virginia,Dan Lantonio
251,Tightrope,Bluemont,Virginia,"Jason Clement, Ben Baboval"
252,Frolic,Charlottesville,Virginia,"Renee Shuman, Logan Byrd"
253,Shark Mountain,Charlottesville,Virginia,Jonny Nuckols
254,Taylor Made,Chester,Virginia,Steve and Kim Taylor
255,Wild Blue,Crozet,Virginia,
256,Veritas Artizen,Loudoun,Virginia,Chris Volz and Andrea Howard-Volz
257,Upchurch,Richmond,Virginia,Stephen G.
258,River-Sea,Sterling,Virginia,Mariano and Krissee
259,Potomac,Woodbridge,Virginia,Ben Rasmussen
260,Powell & Jones,Bainbridge Island,Washington,Sally Anne Jones
261,Vavako,Bellevue,Washington,Nicolas Espinosa
262,Fresco,Lynden,Washington,Rob Anderson
263,StRita Supreme,Marysville,Washington,John Henry
264,Bellflower,Seattle,Washington,Will Dixon and Callie Neylan
265,Chocolate Spiel,Seattle,Washington,Angi Pleiderer
266,Indi,Seattle,Washington,Erin Andrews
267,Theo,Seattle,Washington,Joe Whinney
268,Tease,Tacoma,Washington,Julie Farrell
269,Chocotenango,Washington D.C.,Washington D.C.,Ismael Neggaz
270,Harper Macaw,Washington D.C.,Washington D.C.,Sarah and Colin Hartman
271,Undone,Washington D.C.,Washington D.C.,Adam and Kristen Kavalier
272,ChiamMaya,Huntington,West Virginia,Walt Lewis
273,Appalachian,Shepherdstown,West Virginia,John Meyer
274,Wm Chocolate,Madison,Wisconsin,William Marx
275,Indulgence,Milwaukee,Wisconsin,Julie Waterman
276,Tabal,Milwaukee,Wisconsin,Dan Bieser
277,Sjolinds,Mount Horeb,Wisconsin,Tracy Thompson
278,Del Sol,Viroqua,Wisconsin,Lynn Kronschnabel
279,Deity Chocolate,Cody,Wyoming,Erin and Jake Robertson
