COMPANY NAME,CITY,STATE,OWNER/MAKER
MaDe Atlantic City Chocolate Bar,Atlantic City,New Jersey,Mark and Deborah Pellegrino
Madhu,Austin,Texas,Harshit Gupta and Elliot Curelop
Madre,Honolulu (Oahu),Hawai'I,Nat Bletter
Mahogany,Lubbock,Texas,Joshua Parker
Mana,Portland,Oregon,Holly Hukill
Mancali Craft Chocolate,Tustin,California,
Manoa,Kailua (Oahu),Hawai'I,Dylan Butterbaugh
Map Chocolate Co.,Eugene,Oregon,Mackenzie Rivers
Maribea,Odessa,Texas,Mark Merritt and Joseph Gabaldon
Marin Munchies,San Rafael,California,Katja Reitemeyer
Markham & Fitz aka Hello Cocoa,Fayetteville,Arkansas,"Lauren Blanco, Preston Stewart"
Marsatta,Redondo Beach,California,Jeffray Gardner
Mast Brothers,New York,New York,"Rick Mast, Michael Mast"
Match,Birmingham,Alabama,Kala Northrup
Maverick,Cincinnati,Ohio,Paul Picton
Mayacama,Napa,California,Elena Sirignano
Meadowlands,Meadowlands,Minnesota,"Clyo Howard, Beryl Wells-Hamilton"
Michael Dunn,Concord,California,Michael Dunn
Middlebury,Middlebury,Vermont,Stephanie and Andy Jackson
Millcreek Cacao Roasters,Salt Lake City,Utah,"Dana Brewster, Mark DelVecchio"
Mills Family Chocolate,Atlanta,Georgia,
Mindo,Dexter,Michigan,"Barbara Wilson, Joe Meza"
Moka Origins,Honesdale,Pennsylvania,"Jeff Abella, Ishan Tigunait"
Moloa'a Bay,Anahola (Kaua'I),Hawai'I,Daphne McClure
Molucca,Fresno,California,"Yohanes Makmur, Radinal Latuconsina"
MonChoco,Rapid City,South Dakota,Dana Mroueh
Monsoon,Tucson,Arizona,Adam Krantz
Mozna Chocolate,McAllen,Texas,Anthony Matulewicz
Mutari aka White Label Chocolate,Santa Cruz,California,"Katy Oursler, Stephen Beaumier"
Mystic River,Mystic,Connecticut,Bill and Casey Gash
Nathan Miller,Chambersburg,Pennsylvania,Nathan Miller
Nibble,San Diego,California,"David Mejia, Sandra Bedoya"
Night Owl,Greenville,South Carolina,Makesha Duncan
Noble Bean aka Jerjobo,Bountiful,Utah,Jerry Tadlock
Noir d'Ebine,Evanston,Illinois,Journey Shannon
Nuance,Fort Collins,Colorado,Toby and Alix Gadd
Nutwhats,Chandler,Arizona,Lisa and Jim Rast
Oakland Chocolate Co.,Oakland,California,Nancy Nadel
Ohiyo,Columbus,Ohio,Mike Condo
Olive and Sinclair,Nashville,Tennessee,Scott Witherow
Original Hawaiian Chocolate Factory,Kailua-Kona(Hawaii),Hawai'I,Pam and Bob Cooper
Park 75,Atlanta,Georgia,Robert Gerstenecker
Parliament,Redlands,California,Ryan Berk
Parre Chocolat,Fair Lawn,New Jersey,Pearl Wong
Patric,Columbia,Missouri,Alan Mclure
Peppalo,Tecumseh,Michigan,John and Erika Aylward
Perennial,Holland,Michigan,"Andrew Essink, Jason Los"
Piety and Desire,New Orleans,Louisiana,Christopher Nobles
Pinellas,Tampa Bay,Florida,"Adam Vessa, Cody Vessa"
Pinnacle,Enosburg Falls,Vermont,Tiffany and Ben Howard
PipeVine,Chico,California,Rusty Bogart
Pitch Dark,Portland,Oregon,Brian Flick
Plains to Peaks,Longmont,Colorado,Jeff and Sunni Sylvester
Portsmouth Cacao,Portsmouth,New Hampshire,"Ben Hagerty, Mackenzie"
Potomac,Woodbridge,Virginia,Ben Rasmussen
Potts Chocolate,Charlotte,North Carolina,Blair Potts
Powell & Jones,Bainbridge Island,Washington,Sally Anne Jones
Preservation,Lafayette,Louisiana,Carter Liles
Primo Botanica,Troy,New York,Danielle and Oliver Holecek
Puna Chocolate Company,Hawai'i,Hawai'I,Adam Potter
Raaka,New York,New York,"Ryan Cheney, Nate Hodge"
Ranger,Portland,Oregon,"Rhonda Zender, George and Patrick"
Raphio Chocolate,Fresno,California,Elisa and Yohanes Otavi-Makmur
Ridgewood,New York,New York,Constantine and Ruby Kalbaxis
Ritual,Park City,Utah,"Robbie Stout, Anna Davies"
River-Sea,Sterling,Virginia,Mariano and Krissee
Rogue (closed),Three Rivers,Massachusetts,Colin Gasko
Sacred,Novato,California,Steve Adler
Sacred Summit,Portland,Oregon,Dario Barone
Sandpoint Chocolate Bear,Sandpoint,Idaho,Carrie and Dennis Powell
Sanity Chocolate,Cottage Grove,Oregon,Mike Caven
Santosha aka Raw Shakti,Asheville,North Carolina,Don Rowe
Scharffen Berger Special Maker (closed),San Francisco,California,Hershey
Seahorse,Bend,Oregon,R.C. and Amanda Gartrell
Shanao Cacao,Boulder,Colorado,Michael Caines
Shane Confectionery,Philadelphia,Pennsylvania,"Kevin Paschall, Jeffrey Heinbach"
Shark Mountain,Charlottesville,Virginia,Jonny Nuckols
Shark's,Papaikou (Hawaii),Hawai'I,Thomas Sharkey
Sibu Sura,Myersville,Maryland,Julie McLean
Simpson & Vail,Brookfield,Connecticut,Jim and Joan Harron
Sjolinds,Mount Horeb,Wisconsin,Tracy Thompson
Snake & Butterfly,Campbell,California,"Celeste Walker, James Hull"
Sol Cacao,New York,New York,"Maloney Bros. (Dominic, Nicholas, Daniel)"
Solstice,Salt Lake City,Utah,"Scott Querry, DeAnn Wallin"
Somerville,Somerville,Massachusetts,Eric Parkes
Source Chocolate,Bow,New Hampshire,Samantha Fox
Spagnvola,Gaithersburg,Maryland,Eric and Crisoire Reid
Spencer,Portland,Oregon,Robert O'Bymes
SRSLY,Austin,Texas,Bob Williamson
Starchild,Willits,California,Ash and Brittany Maki
Stone Grindz,Scottsdale,Arizona,Kasey McCaslin
StRita Supreme,Marysville,Washington,John Henry
Sublime,Allen,Texas,Troy Easton
Sweet Bean,Cleveland,Ohio,Bob and Kristin Barnes
Sweet Minou,Lincoln,Nebraska,Rebecca Ankenbrand
Tabal,Milwaukee,Wisconsin,Dan Bieser
Taste Artisan aka Coleman and Davis,Salt Lake City,Utah,"Morgan Coleman, Phil Davis"
Taylor Made,Chester,Virginia,Steve and Kim Taylor
Taza,Somerville,Massachusetts,Alex Whitmore
TCHO,San Francisco,California,Timothy Childs
Tchefuncte,Colorado Springs,Colorado,Tiffany and Richard Dull
Tease,Tacoma,Washington,Julie Farrell
Tejas,Spring,Texas,Scott Moore
Terroir,Fergus Falls,Minnesota,Kristin and Josh Mohagen
The Cacao Bean Project,Sandy,Utah,Lance and Shannon Brown
The Underground Truffle,Charlotte,North Carolina,Esa Weinreb
Theo,Seattle,Washington,Joe Whinney
Tightrope,Bluemont,Virginia,"Jason Clement, Ben Baboval"
Tiny House,Santa Cruz,California,
Tocoti,Walworth,New York,"Dale Montondo, Ellen"
Treehouse aka Indaphoria,Portland,Oregon,Aaron Koch
Two Ravens,St. Paul,Minnesota,Randall Johnson
twenty-four blackbirds,Santa Barbara,California,Mike Orlando
Undone,Washington D.C.,Washington D.C.,Adam and Kristen Kavalier
Unrefined Chocolate,Knoxville,Tennessee,Nathan Hilbert
Upchurch,Richmond,Virginia,Stephen G.
Vavako,Bellevue,Washington,Nicolas Espinosa
Veritas Artizen,Loudoun,Virginia,Chris Volz and Andrea Howard-Volz
Vesta,Montclair,New Jersey,Roger Rodriguez
Vicuna,Peterborough,New Hampshire,"Pierre Fabre, Cat Wilder"
Videri,Raleigh,North Carolina,Sam Ratto
Violet Sky,South Bend,Indiana,Hans and Alison Westerink
Vivra,Boston,Massachusetts,Bob and Paige Leavitt
Volo,Healdsburg,California,Jeff Mall
Whelpdale,Louisville,Kentucky,Gary Whelpdale
Wild Blue,Crozet,Virginia,
Wildland Chocolate,Anchorage,Alaska,Jimmy and Suzanne
WKND,Denver,Colorado,Hannah Morris
Wm Chocolate,Madison,Wisconsin,William Marx
Woodblock,Portland,Oregon,Charley Wheelock
Wren,Portland,Oregon,Ryan Herron
Xocolatl,Atlanta,Georgia,"Elaine Read, Matt Weyandt"
Xocolla,Sugar Land,Texas,Tony Najjar
Zac Squared,San Francisco,California,"Randy Zack, Zak Policzer"
Zak's,Scottsdale,Arizona,Jim and Maureen Elitzak
ZenBunni,Venice,California,Zen and Bunni
Zero Tolerance,Oklahoma City,Oklahoma,Roy and Maura Lapinski Baker
,,,
,,,
,,,
,,,
,,,
,,,
,,,
